Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Congo,0.032,0.042,-0.376,0.071,0.313,0.500,0.030,0.342,1.035,0.590,0.333,0.374,0.673,0.832,0.774,0.700,0.665,0.759,0.731,0.668,1.128,0.501,0.604,0.790,0.769,1.042,1.455,1.111,1.217,1.491
Cook Islands,0.433,0.522,0.544,0.377,0.284,0.618,0.434,0.558,1.061,0.853,0.610,0.782,0.432,0.466,0.571,0.437,0.527,0.599,0.632,0.270,0.937,0.833,0.467,0.755,0.598,,1.344,0.858,0.567,0.399
Costa Rica,0.474,0.508,0.248,0.411,0.301,0.006,-0.152,0.695,0.829,-0.407,0.009,0.650,0.664,0.805,0.818,0.539,0.614,0.623,0.240,0.949,0.789,0.523,0.416,0.710,0.674,0.979,0.967,0.812,1.032,1.377
Croatia,,,1.019,0.547,1.675,0.400,-0.158,0.502,0.816,0.937,1.817,1.082,1.604,1.279,0.713,0.148,0.936,1.733,1.653,1.486,0.718,1.492,1.669,1.451,2.059,1.949,1.656,1.616,2.273,2.298
Cuba,0.838,0.850,0.536,0.608,0.998,0.952,0.324,1.028,1.147,0.625,0.483,0.572,0.875,1.023,0.859,0.506,0.901,0.756,0.393,0.737,0.212,0.689,0.518,0.822,0.787,1.379,1.189,1.228,1.220,1.588
Cyprus,0.165,0.110,-1.023,-0.108,0.774,0.133,0.469,-0.112,0.973,1.127,0.523,1.095,0.724,0.687,0.524,0.509,0.484,0.913,1.077,1.112,2.071,0.482,1.037,1.038,1.349,1.022,1.420,1.161,2.135,1.542
Czechia,,,,0.498,1.792,0.730,-0.740,0.567,1.049,1.253,2.024,0.848,1.632,1.254,0.807,0.680,1.256,1.930,1.746,1.300,0.109,1.600,1.341,1.010,2.479,2.339,1.748,1.662,2.700,2.623
Czechoslovakia,1.131,-0.008,1.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
C魌e d'Ivoire,0.582,0.437,0.286,0.498,0.469,0.686,0.753,0.667,1.294,0.466,0.414,0.580,0.724,1.017,0.831,1.034,0.864,1.007,0.768,0.948,1.204,0.865,0.632,0.882,0.862,1.234,1.612,1.544,1.123,1.110
Democratic People's Republic of Korea,1.258,0.599,0.720,0.401,1.392,0.635,0.352,0.852,1.778,1.291,0.482,0.770,0.850,0.992,1.505,0.422,1.050,1.612,1.376,0.890,0.405,0.467,0.156,0.576,1.241,1.436,1.317,1.278,0.917,1.974
